              (6, 3)           201326592             5401.01             5393.91               34.72               34.76
              (6, 4)           201326592             5401.48             5395.03               34.71               34.75
              (6, 5)           201326592             5404.13             5398.39               34.70               34.73
              (6, 7)           201326592             5402.60             5396.79               34.71               34.74
              (6, 8)           201326592             5391.97             5386.55               34.77               34.81
              (6, 9)           201326592             5393.02             5387.51               34.77               34.80
             (6, 10)           201326592             5399.52             5391.67               34.73               34.78
             (6, 11)           201326592             5396.37             5390.71               34.75               34.78
             (6, 12)           201326592             1446.18             1435.52              129.65              130.61
             (6, 13)           201326592             5400.93             5393.27               34.72               34.77
             (6, 14)           201326592             5403.42             5395.19               34.70               34.75
             (6, 15)           201326592             5390.15             5384.79               34.79               34.82
              (7, 0)           201326592             5394.99             5387.55               34.75               34.80
              (7, 1)           201326592             5395.54             5387.87               34.75               34.80
              (7, 2)           201326592             4340.25             4333.46               43.20               43.27
              (7, 3)           201326592             5401.76             5393.31               34.71               34.77
              (7, 4)           201326592             5405.63             5396.99               34.69               34.74
              (7, 5)           201326592             5395.80             5387.71               34.75               34.80
              (7, 6)           201326592             5396.98             5390.91               34.74               34.78
              (7, 8)           201326592             5398.74             5390.43               34.73               34.78
              (7, 9)           201326592             5407.80             5396.99               34.67               34.74
             (7, 10)           201326592             5392.03             5384.51               34.77               34.82
             (7, 11)           201326592             5392.62             5387.23               34.77               34.80
             (7, 12)           201326592             5401.88             5393.47               34.71               34.76
             (7, 13)           201326592             1432.92             1423.53              130.85              131.72
             (7, 14)           201326592             5394.28             5385.95               34.76               34.81
             (7, 15)           201326592             2721.79             2714.10               68.89               69.08
              (8, 0)           201326592             5391.69             5386.45               34.78               34.81
              (8, 1)           201326592             5393.95             5386.45               34.76               34.81
              (8, 2)           201326592             5417.92             5394.45               34.61               34.76
              (8, 3)           201326592             5397.09             5390.29               34.74               34.78
              (8, 4)           201326592             5398.13             5389.49               34.73               34.79
              (8, 5)           201326592             5400.99             5392.53               34.72               34.77
              (8, 6)           201326592             5391.05             5383.89               34.78               34.83
              (8, 7)           201326592             5400.44             5390.45               34.72               34.78
              (8, 9)           201326592             1434.40             1426.09              130.72              131.48
             (8, 10)           201326592             5393.73             5388.85               34.76               34.79
             (8, 11)           201326592             5391.45             5385.81               34.78               34.81
             (8, 12)           201326592             5393.71             5388.21               34.76               34.80
             (8, 13)           201326592             5397.15             5390.77               34.74               34.78
             (8, 14)           201326592             5400.37             5392.53               34.72               34.77
             (8, 15)           201326592             5400.56             5393.33               34.72               34.77
              (9, 0)           201326592             5391.52             5386.61               34.78               34.81
              (9, 1)           201326592             5390.56             5383.89               34.78               34.83
              (9, 2)           201326592             5395.47             5388.69               34.75               34.80
              (9, 3)           201326592             5399.76             5391.09               34.72               34.78
              (9, 4)           201326592             5407.63             5389.81               34.67               34.79
              (9, 5)           201326592             5399.81             5388.21               34.72               34.80
              (9, 6)           201326592             4370.47             4363.88               42.90               42.97
              (9, 7)           201326592             5404.08             5394.13               34.70               34.76
              (9, 8)           201326592             1439.73             1427.05              130.23              131.39
             (9, 10)           201326592             5394.17             5387.25               34.76               34.80
             (9, 11)           201326592             5393.82             5385.81               34.76               34.81
             (9, 12)           201326592             2721.21             2712.82               68.90               69.12
             (9, 13)           201326592             5399.49             5391.25               34.73               34.78
             (9, 14)           201326592             5405.73             5396.21               34.69               34.75
             (9, 15)           201326592             5398.79             5391.25               34.73               34.78
             (10, 0)           201326592             1434.90             1426.25              130.67              131.46
             (10, 1)           201326592             5410.77             5401.80               34.65               34.71
             (10, 2)           201326592             5398.01             5390.76               34.74               34.78
             (10, 3)           201326592             5398.10             5390.60               34.73               34.78
             (10, 4)           201326592             5402.36             5393.80               34.71               34.76
             (10, 5)           201326592             4347.35             4341.79               43.13               43.18
             (10, 6)           201326592             5401.26             5390.12               34.71               34.79
             (10, 7)           201326592             5394.79             5389.96               34.76               34.79
             (10, 8)           201326592             5395.69             5389.32               34.75               34.79
             (10, 9)           201326592             5395.81             5390.28               34.75               34.78
            (10, 11)           201326592             5402.66             5393.96               34.71               34.76
            (10, 12)           201326592             5407.94             5398.44               34.67               34.73
            (10, 13)           201326592             5393.74             5385.32               34.76               34.82
            (10, 14)           201326592             2721.83             2713.94               68.89               69.09
            (10, 15)           201326592             5398.13             5391.08               34.73               34.78
             (11, 0)           201326592             5398.33             5391.54               34.73               34.78
             (11, 1)           201326592             1432.97             1424.64              130.85              131.61
             (11, 2)           201326592             5400.52             5393.30               34.72               34.77
             (11, 3)           201326592             5391.22             5386.10               34.78               34.81
             (11, 4)           201326592             5394.97             5386.90               34.75               34.81
             (11, 5)           201326592             5398.51             5392.18               34.73               34.77
             (11, 6)           201326592             5396.27             5389.94               34.75               34.79
             (11, 7)           201326592             5394.17             5385.62               34.76               34.81
             (11, 8)           201326592             5390.80             5385.78               34.78               34.81
             (11, 9)           201326592             5393.82             5386.26               34.76               34.81
            (11, 10)           201326592             5401.34             5393.94               34.71               34.76
            (11, 12)           201326592             5413.59             5408.02               34.64               34.67
            (11, 13)           201326592             5390.97             5385.30               34.78               34.82
            (11, 14)           201326592             5398.31             5392.50               34.73               34.77
            (11, 15)           201326592             5402.93             5396.50               34.70               34.74
             (12, 0)           201326592             5392.32             5388.47               34.77               34.80
             (12, 1)           201326592             5392.25             5385.59               34.77               34.82
             (12, 2)           201326592             5391.32             5385.43               34.78               34.82
             (12, 3)           201326592             5397.73             5388.95               34.74               34.79
             (12, 4)           201326592             5405.16             5391.19               34.69               34.78
             (12, 5)           201326592             5405.78             5394.87               34.69               34.76
             (12, 6)           201326592             1433.28             1426.08              130.82              131.48
             (12, 7)           201326592             5404.25             5394.87               34.69               34.76
             (12, 8)           201326592             4355.23             4349.27               43.05               43.11
             (12, 9)           201326592             2723.51             2716.79               68.85               69.02
            (12, 10)           201326592             5396.57             5389.91               34.74               34.79
            (12, 11)           201326592             5412.15             5400.47               34.64               34.72
            (12, 13)           201326592             5401.51             5393.91               34.71               34.76
            (12, 14)           201326592             5407.46             5397.11               34.67               34.74
            (12, 15)           201326592             5397.56             5387.83               34.74               34.80
             (13, 0)           201326592             5391.21             5386.59               34.78               34.81
             (13, 1)           201326592             5394.12             5388.19               34.76               34.80
             (13, 2)           201326592             5391.70             5387.23               34.78               34.80
             (13, 3)           201326592             5402.19             5394.27               34.71               34.76
             (13, 4)           201326592             5406.02             5395.55               34.68               34.75
             (13, 5)           201326592             5398.79             5390.43               34.73               34.78
             (13, 6)           201326592             5399.23             5390.91               34.73               34.78
             (13, 7)           201326592             1438.29             1431.69              130.36              130.96
             (13, 8)           201326592             5399.02             5391.39               34.73               34.78
             (13, 9)           201326592             5402.37             5394.91               34.71               34.75
            (13, 10)           201326592             5394.20             5387.39               34.76               34.80
            (13, 11)           201326592             5392.89             5387.87               34.77               34.80
            (13, 12)           201326592             5402.14             5394.75               34.71               34.76
            (13, 14)           201326592             5408.39             5396.67               34.67               34.74
            (13, 15)           201326592             5396.96             5389.95               34.74               34.79
             (14, 0)           201326592             4389.30             4383.49               42.72               42.77
             (14, 1)           201326592             5419.13             5396.45               34.60               34.75
             (14, 2)           201326592             5401.43             5393.25               34.71               34.77
             (14, 3)           201326592             5393.80             5385.73               34.76               34.81
             (14, 4)           201326592             5394.15             5388.61               34.76               34.80
             (14, 5)           201326592             1435.63             1427.83              130.60              131.32
             (14, 6)           201326592             5403.36             5397.09               34.70               34.74
             (14, 7)           201326592             5397.05             5387.33               34.74               34.80
             (14, 8)           201326592             5393.50             5386.69               34.76               34.81
             (14, 9)           201326592             5399.79             5395.01               34.72               34.75
            (14, 10)           201326592             2722.53             2716.62               68.87               69.02
            (14, 11)           201326592             5398.94             5391.49               34.73               34.78
            (14, 12)           201326592             5418.22             5406.53               34.61               34.68
            (14, 13)           201326592             5401.52             5393.57               34.71               34.76
