AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           201326592             4194304             4717.82             4717.82               42.67               42.67
           402653184               65536            12352.85            12352.85               32.60               32.60
           402653184              131072            10595.26            10595.26               38.00               38.00
           402653184              262144             9743.80             9743.80               41.32               41.32
           402653184              524288             9262.60             9262.60               43.47               43.47
           402653184             1048576             9092.14             9092.14               44.29               44.29
           402653184             2097152             9078.76             9078.76               44.35               44.35
           402653184             4194304             9152.11             9152.11               44.00               44.00
           805306368               65536            24838.67            24838.67               32.42               32.42
           805306368              131072            21147.59            21147.59               38.08               38.08
           805306368              262144            19403.39            19403.39               41.50               41.50
           805306368              524288            18434.53            18434.53               43.68               43.68
           805306368             1048576            18035.89            18035.89               44.65               44.65
           805306368             2097152            17964.74            17964.74               44.83               44.83
           805306368             4194304            18005.41            18005.41               44.73               44.73
          1610612736               65536            49641.91            49641.91               32.44               32.44
          1610612736              131072            42294.12            42294.12               38.08               38.08
          1610612736              262144            38763.56            38763.56               41.55               41.55
          1610612736              524288            36838.46            36838.46               43.72               43.72
          1610612736             1048576            36016.35            36016.35               44.72               44.72
          1610612736             2097152            35713.71            35713.71               45.10               45.10
          1610612736             4194304            35727.52            35727.52               45.08               45.08
          3221225472               65536            99421.85            99421.85               32.40               32.40
          3221225472              131072            84781.71            84781.71               37.99               37.99
          3221225472              262144            77471.17            77471.17               41.58               41.58
          3221225472              524288            74050.66            74050.66               43.50               43.50
          3221225472             1048576            72284.83            72284.83               44.56               44.56
          3221225472             2097152            71451.64            71451.64               45.08               45.08
          3221225472             4194304            71628.66            71628.66               44.97               44.97

##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=18, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=2
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               71.57               71.57                0.04                0.04
                3072              131072               70.68               70.68                0.04                0.04
                3072              262144               70.91               70.91                0.04                0.04
                3072              524288               70.79               70.79                0.04                0.04
                3072             1048576               70.78               70.78                0.04                0.04
                3072             2097152               70.85               70.85                0.04                0.04
                3072             4194304               70.90               70.90                0.04                0.04
                6144               65536               71.13               71.13                0.09                0.09
                6144              131072               70.99               70.99                0.09                0.09
                6144              262144               70.91               70.91                0.09                0.09
                6144              524288               71.02               71.02                0.09                0.09
                6144             1048576               70.83               70.83                0.09                0.09
                6144             2097152               71.06               71.06                0.09                0.09
                6144             4194304               71.21               71.21                0.09                0.09
               12288               65536               71.42               71.42                0.17                0.17
               12288              131072               71.67               71.67                0.17                0.17
               12288              262144               71.36               71.36                0.17                0.17
               12288              524288               71.06               71.06                0.17                0.17
               12288             1048576               71.10               71.10                0.17                0.17
               12288             2097152               70.89               70.89                0.17                0.17
               12288             4194304               71.39               71.39                0.17                0.17
               24576               65536               71.49               71.49                0.34                0.34
               24576              131072               71.33               71.33                0.34                0.34
               24576              262144               71.27               71.27                0.34                0.34
               24576              524288               70.94               70.94                0.35                0.35
               24576             1048576               71.59               71.59                0.34                0.34
               24576             2097152               71.42               71.42                0.34                0.34
               24576             4194304               71.38               71.38                0.34                0.34
               49152               65536               71.62               71.62                0.69                0.69
               49152              131072               71.98               71.98                0.68                0.68
               49152              262144               71.66               71.66                0.69                0.69
               49152              524288               71.55               71.55                0.69                0.69
               49152             1048576               72.14               72.14                0.68                0.68
               49152             2097152               72.14               72.14                0.68                0.68
               49152             4194304               72.21               72.21                0.68                0.68
               98304               65536               72.87               72.87                1.35                1.35
               98304              131072               72.89               72.89                1.35                1.35
               98304              262144               72.96               72.96                1.35                1.35
               98304              524288               73.05               73.05                1.35                1.35
               98304             1048576               72.57               72.57                1.35                1.35
               98304             2097152               72.95               72.95                1.35                1.35
               98304             4194304               72.83               72.83                1.35                1.35
              196608               65536               75.43               75.43                2.61                2.61
              196608              131072               75.80               75.80                2.59                2.59
              196608              262144               75.63               75.63                2.60                2.60
              196608              524288               75.70               75.70                2.60                2.60
              196608             1048576               75.35               75.35                2.61                2.61
              196608             2097152               75.39               75.39                2.61                2.61
              196608             4194304               75.71               75.71                2.60                2.60
              393216               65536               79.27               79.27                4.96                4.96
              393216              131072               79.49               79.49                4.95                4.95
              393216              262144               79.35               79.35                4.96                4.96
              393216              524288               79.51               79.51                4.95                4.95
              393216             1048576               79.36               79.36                4.95                4.95
              393216             2097152               79.50               79.50                4.95                4.95
              393216             4194304               79.43               79.43                4.95                4.95
              786432               65536               86.71               86.71                9.07                9.07
              786432              131072               87.21               87.21                9.02                9.02
              786432              262144               86.43               86.43                9.10                9.10
              786432              524288               86.74               86.74                9.07                9.07
              786432             1048576               86.85               86.85                9.06                9.06
              786432             2097152               86.99               86.99                9.04                9.04
              786432             4194304               86.88               86.88                9.05                9.05
             1572864               65536              124.07              124.07               12.68               12.68
             1572864              131072               99.85               99.85               15.75               15.75
             1572864              262144               99.56               99.56               15.80               15.80
             1572864              524288              101.66              101.66               15.47               15.47
             1572864             1048576              100.81              100.81               15.60               15.60
             1572864             2097152              100.67              100.67               15.62               15.62
             1572864             4194304              101.02              101.02               15.57               15.57
             3145728               65536              172.34              172.34               18.25               18.25
             3145728              131072              146.40              146.40               21.49               21.49
             3145728              262144              128.79              128.79               24.43               24.43
             3145728              524288              128.86              128.86               24.41               24.41
             3145728             1048576              128.99              128.99               24.39               24.39
             3145728             2097152              129.43              129.43               24.30               24.30
             3145728             4194304              128.66              128.66               24.45               24.45
             6291456               65536              304.42              304.42               20.67               20.67
             6291456              131072              211.07              211.07               29.81               29.81
             6291456              262144              191.04              191.04               32.93               32.93
             6291456              524288              181.90              181.90               34.59               34.59
             6291456             1048576              184.17              184.17               34.16               34.16
             6291456             2097152              180.95              180.95               34.77               34.77
             6291456             4194304              178.95              178.95               35.16               35.16
            12582912               65536              570.08              570.08               22.07               22.07
            12582912              131072              384.39              384.39               32.73               32.73
            12582912              262144              288.80              288.80               43.57               43.57
            12582912              524288              274.93              274.93               45.77               45.77
            12582912             1048576              288.49              288.49               43.62               43.62
            12582912             2097152              288.89              288.89               43.56               43.56
            12582912             4194304              286.06              286.06               43.99               43.99
            25165824               65536             1150.61             1150.61               21.87               21.87
            25165824              131072              758.74              758.74               33.17               33.17
            25165824              262144              554.00              554.00               45.43               45.43
            25165824              524288              463.71              463.71               54.27               54.27
            25165824             1048576              476.02              476.02               52.87               52.87
            25165824             2097152              541.42              541.42               46.48               46.48
            25165824             4194304              542.81              542.81               46.36               46.36
            50331648               65536             2294.34             2294.34               21.94               21.94
            50331648              131072             1512.23             1512.23               33.28               33.28
            50331648              262144             1083.26             1083.26               46.46               46.46
