AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
             3145728            67108864               69.65               69.65               45.16               45.16
             6291456               65536              126.26              126.26               49.83               49.83
             6291456              131072               94.26               94.26               66.75               66.75
             6291456              262144               94.03               94.03               66.91               66.91
             6291456              524288               95.81               95.81               65.67               65.67
             6291456             1048576              100.83              100.83               62.39               62.39
             6291456             2097152              102.10              102.10               61.62               61.62
             6291456             4194304               98.18               98.18               64.08               64.08
             6291456             8388608               95.93               95.93               65.58               65.58
             6291456            16777216               98.46               98.46               63.90               63.90
             6291456            33554432               98.51               98.51               63.87               63.87
             6291456            67108864               98.92               98.92               63.60               63.60
            12582912               65536              220.83              220.83               56.98               56.98
            12582912              131072              159.93              159.93               78.68               78.68
            12582912              262144              142.15              142.15               88.52               88.52
            12582912              524288              153.63              153.63               81.90               81.90
            12582912             1048576              158.21              158.21               79.53               79.53
            12582912             2097152              160.28              160.28               78.51               78.51
            12582912             4194304              161.30              161.30               78.01               78.01
            12582912             8388608              158.34              158.34               79.47               79.47
            12582912            16777216              159.00              159.00               79.14               79.14
            12582912            33554432              159.95              159.95               78.67               78.67
            12582912            67108864              157.84              157.84               79.72               79.72
            25165824               65536              422.01              422.01               59.63               59.63
            25165824              131072              306.91              306.91               82.00               82.00
            25165824              262144              264.28              264.28               95.22               95.22
            25165824              524288              253.79              253.79               99.16               99.16
            25165824             1048576              281.67              281.67               89.34               89.34
            25165824             2097152              313.89              313.89               80.17               80.17
            25165824             4194304              314.21              314.21               80.09               80.09
            25165824             8388608              314.83              314.83               79.93               79.93
            25165824            16777216              314.22              314.22               80.09               80.09
            25165824            33554432              314.21              314.21               80.09               80.09
            25165824            67108864              314.42              314.42               80.04               80.04
            50331648               65536              807.05              807.05               62.37               62.37
            50331648              131072              574.16              574.16               87.66               87.66
            50331648              262144              475.78              475.78              105.79              105.79
            50331648              524288              443.82              443.82              113.41              113.41
            50331648             1048576              450.79              450.79              111.65              111.65
            50331648             2097152              516.07              516.07               97.53               97.53
            50331648             4194304              577.67              577.67               87.13               87.13
            50331648             8388608              576.47              576.47               87.31               87.31
            50331648            16777216              578.63              578.63               86.98               86.98
            50331648            33554432              574.59              574.59               87.60               87.60
            50331648            67108864              576.80              576.80               87.26               87.26
           100663296               65536             1589.66             1589.66               63.32               63.32
           100663296              131072             1102.83             1102.83               91.28               91.28
           100663296              262144              905.72              905.72              111.14              111.14
           100663296              524288              821.71              821.71              122.50              122.50
           100663296             1048576              808.59              808.59              124.49              124.49
           100663296             2097152              848.10              848.10              118.69              118.69
           100663296             4194304              961.99              961.99              104.64              104.64
           100663296             8388608             1100.48             1100.48               91.47               91.47
           100663296            16777216             1076.63             1076.63               93.50               93.50
           100663296            33554432             1100.06             1100.06               91.51               91.51
           100663296            67108864             1099.66             1099.66               91.54               91.54
           201326592               65536             3158.47             3158.47               63.74               63.74
           201326592              131072             2175.35             2175.35               92.55               92.55
           201326592              262144             1757.95             1757.95              114.52              114.52
           201326592              524288             1571.88             1571.88              128.08              128.08
           201326592             1048576             1509.78             1509.78              133.35              133.35
           201326592             2097152             1546.79             1546.79              130.16              130.16
           201326592             4194304             1632.97             1632.97              123.29              123.29
           201326592             8388608             1858.02             1858.02              108.36              108.36
           201326592            16777216             2142.86             2142.86               93.95               93.95
           201326592            33554432             2099.48             2099.48               95.89               95.89
           201326592            67108864             2102.32             2102.32               95.76               95.76
           402653184               65536             6328.01             6328.01               63.63               63.63
