root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           402653184             1048576             2046.99             2046.99              196.71              196.71
           402653184             2097152             2089.44             2089.44              192.71              192.71
           805306368               65536             8917.55             8917.55               90.31               90.31
           805306368              131072             6061.39             6061.39              132.86              132.86
           805306368              262144             4674.31             4674.31              172.28              172.28
           805306368              524288             3985.85             3985.85              202.04              202.04
           805306368             1048576             4029.16             4029.16              199.87              199.87
           805306368             2097152             4055.01             4055.01              198.60              198.60
          1610612736               65536            17793.87            17793.87               90.52               90.52
          1610612736              131072            12071.14            12071.14              133.43              133.43
          1610612736              262144             9368.41             9368.41              171.92              171.92
          1610612736              524288             7980.64             7980.64              201.82              201.82
          1610612736             1048576             8010.89             8010.89              201.05              201.05
          1610612736             2097152             8004.52             8004.52              201.21              201.21
          3221225472               65536            35560.44            35560.44               90.58               90.58
          3221225472              131072            24097.20            24097.20              133.68              133.68
          3221225472              262144            18699.26            18699.26              172.26              172.26
          3221225472              524288            16102.45            16102.45              200.05              200.05
          3221225472             1048576            15959.22            15959.22              201.84              201.84
          3221225472             2097152            15908.82            15908.82              202.48              202.48

####################################################### Allgather #######################################################
nranks=16
k=2
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               53.40               53.40                0.06                0.06
                3072              131072               53.25               53.25                0.06                0.06
                3072              262144               53.70               53.70                0.06                0.06
                3072              524288               54.31               54.31                0.06                0.06
                3072             1048576               54.20               54.20                0.06                0.06
                3072             2097152               53.22               53.22                0.06                0.06
                6144               65536               53.47               53.47                0.11                0.11
                6144              131072               53.34               53.34                0.12                0.12
                6144              262144               53.71               53.71                0.11                0.11
                6144              524288               53.63               53.63                0.11                0.11
                6144             1048576               53.90               53.90                0.11                0.11
                6144             2097152               53.59               53.59                0.11                0.11
               12288               65536               53.08               53.08                0.23                0.23
               12288              131072               53.48               53.48                0.23                0.23
               12288              262144               53.46               53.46                0.23                0.23
               12288              524288               54.22               54.22                0.23                0.23
               12288             1048576               53.70               53.70                0.23                0.23
               12288             2097152               53.25               53.25                0.23                0.23
               24576               65536               53.78               53.78                0.46                0.46
               24576              131072               52.96               52.96                0.46                0.46
               24576              262144               53.47               53.47                0.46                0.46
               24576              524288               53.68               53.68                0.46                0.46
               24576             1048576               53.38               53.38                0.46                0.46
               24576             2097152               53.16               53.16                0.46                0.46
               49152               65536               53.85               53.85                0.91                0.91
               49152              131072               53.51               53.51                0.92                0.92
               49152              262144               54.09               54.09                0.91                0.91
               49152              524288               53.35               53.35                0.92                0.92
               49152             1048576               53.46               53.46                0.92                0.92
               49152             2097152               53.62               53.62                0.92                0.92
               98304               65536               53.79               53.79                1.83                1.83
               98304              131072               54.20               54.20                1.81                1.81
               98304              262144               53.75               53.75                1.83                1.83
               98304              524288               53.89               53.89                1.82                1.82
               98304             1048576               54.03               54.03                1.82                1.82
               98304             2097152               57.19               57.19                1.72                1.72
              196608               65536               55.17               55.17                3.56                3.56
              196608              131072               55.36               55.36                3.55                3.55
              196608              262144               55.60               55.60                3.54                3.54
              196608              524288               55.67               55.67                3.53                3.53
              196608             1048576               55.27               55.27                3.56                3.56
              196608             2097152               55.35               55.35                3.55                3.55
              393216               65536               56.94               56.94                6.91                6.91
              393216              131072               56.99               56.99                6.90                6.90
              393216              262144               56.90               56.90                6.91                6.91
              393216              524288               56.94               56.94                6.91                6.91
              393216             1048576               56.80               56.80                6.92                6.92
              393216             2097152               57.24               57.24                6.87                6.87
              786432               65536               59.89               59.89               13.13               13.13
              786432              131072               59.82               59.82               13.15               13.15
              786432              262144               60.31               60.31               13.04               13.04
              786432              524288               59.94               59.94               13.12               13.12
              786432             1048576               60.30               60.30               13.04               13.04
              786432             2097152               59.86               59.86               13.14               13.14
             1572864               65536               64.88               64.88               24.24               24.24
             1572864              131072               64.47               64.47               24.40               24.40
             1572864              262144               64.56               64.56               24.36               24.36
             1572864              524288               64.09               64.09               24.54               24.54
             1572864             1048576               64.40               64.40               24.42               24.42
             1572864             2097152               65.05               65.05               24.18               24.18
             3145728               65536               79.81               79.81               39.41               39.41
             3145728              131072               74.02               74.02               42.50               42.50
             3145728              262144               74.64               74.64               42.15               42.15
             3145728              524288               74.51               74.51               42.22               42.22
             3145728             1048576               74.23               74.23               42.38               42.38
             3145728             2097152               75.45               75.45               41.69               41.69
             6291456               65536               99.97               99.97               62.93               62.93
             6291456              131072               88.93               88.93               70.74               70.74
             6291456              262144               82.69               82.69               76.09               76.09
             6291456              524288               80.95               80.95               77.72               77.72
             6291456             1048576               83.65               83.65               75.21               75.21
             6291456             2097152               82.18               82.18               76.56               76.56
            12582912               65536              158.40              158.40               79.44               79.44
            12582912              131072              126.28              126.28               99.64               99.64
            12582912              262144              119.49              119.49              105.30              105.30
            12582912              524288              117.32              117.32              107.25              107.25
            12582912             1048576              111.76              111.76              112.59              112.59
            12582912             2097152              113.62              113.62              110.74              110.74
            25165824               65536              307.45              307.45               81.85               81.85
            25165824              131072              213.33              213.33              117.97              117.97
            25165824              262144              182.58              182.58              137.84              137.84
            25165824              524288              174.40              174.40              144.30              144.30
            25165824             1048576              171.76              171.76              146.52              146.52
            25165824             2097152              171.03              171.03              147.14              147.14
            50331648               65536              571.24              571.24               88.11               88.11
            50331648              131072              414.00              414.00              121.57              121.57
            50331648              262144              314.27              314.27              160.16              160.16
            50331648              524288              277.63              277.63              181.29              181.29
            50331648             1048576              285.76              285.76              176.13              176.13
            50331648             2097152              294.14              294.14              171.11              171.11
           100663296               65536             1122.65             1122.65               89.67               89.67
           100663296              131072              792.62              792.62              127.00              127.00
           100663296              262144              624.08              624.08              161.30              161.30
           100663296              524288              498.19              498.19              202.06              202.06
           100663296             1048576              492.19              492.19              204.52              204.52
           100663296             2097152              528.91              528.91              190.32              190.32
           201326592               65536             2218.59             2218.59               90.75               90.75
           201326592              131072             1549.66             1549.66              129.92              129.92
           201326592              262144             1208.82             1208.82              166.55              166.55
           201326592              524288              975.11              975.11              206.46              206.46
           201326592             1048576              898.83              898.83              223.99              223.99
           201326592             2097152              970.84              970.84              207.37              207.37
           402653184               65536             4412.71             4412.71               91.25               91.25
           402653184              131072             3056.48             3056.48              131.74              131.74
           402653184              262144             2358.46             2358.46              170.73              170.73
           402653184              524288             1865.42             1865.42              215.85              215.85
           402653184             1048576             1666.59             1666.59              241.60              241.60
           402653184             2097152             1738.20             1738.20              231.65              231.65
           805306368               65536             8829.69             8829.69               91.20               91.20
           805306368              131072             6059.03             6059.03              132.91              132.91
           805306368              262144             4702.89             4702.89              171.24              171.24
           805306368              524288             3620.08             3620.08              222.46              222.46
           805306368             1048576             3300.05             3300.05              244.03              244.03
           805306368             2097152             3231.74             3231.74              249.19              249.19
          1610612736               65536            17712.28            17712.28               90.93               90.93
          1610612736              131072            12039.58            12039.58              133.78              133.78
          1610612736              262144             9334.14             9334.14              172.55              172.55
          1610612736              524288             7152.30             7152.30              225.19              225.19
          1610612736             1048576             6301.57             6301.57              255.59              255.59
          1610612736             2097152             6390.72             6390.72              252.02              252.02
          3221225472               65536            35272.32            35272.32               91.32               91.32
