AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True, n_pipeline=1
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=0
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           402653184               65536             6626.15             6626.15               60.77               60.77
           402653184              131072             4957.01             4957.01               81.23               81.23
           402653184              262144             3857.08             3857.08              104.39              104.39
           402653184              524288             3297.11             3297.11              122.12              122.12
           402653184             1048576             3103.66             3103.66              129.73              129.73
           402653184             2097152             3067.31             3067.31              131.27              131.27
           402653184             4194304             3090.53             3090.53              130.29              130.29
           805306368               65536            13359.38            13359.38               60.28               60.28
           805306368              131072             9943.35             9943.35               80.99               80.99
           805306368              262144             7701.81             7701.81              104.56              104.56
           805306368              524288             6551.90             6551.90              122.91              122.91
           805306368             1048576             6094.49             6094.49              132.14              132.14
           805306368             2097152             5973.54             5973.54              134.81              134.81
           805306368             4194304             5869.07             5869.07              137.21              137.21
          1610612736               65536            26772.10            26772.10               60.16               60.16
          1610612736              131072            19948.67            19948.67               80.74               80.74
          1610612736              262144            15455.28            15455.28              104.21              104.21
          1610612736              524288            13107.73            13107.73              122.88              122.88
          1610612736             1048576            12132.71            12132.71              132.75              132.75
          1610612736             2097152            11774.82            11774.82              136.78              136.78
          1610612736             4194304            11428.15            11428.15              140.93              140.93
          3221225472               65536            53589.30            53589.30               60.11               60.11
          3221225472              131072            39911.20            39911.20               80.71               80.71
          3221225472              262144            30940.82            30940.82              104.11              104.11
          3221225472              524288            26219.37            26219.37              122.86              122.86
          3221225472             1048576            24196.17            24196.17              133.13              133.13
          3221225472             2097152            23458.96            23458.96              137.31              137.31
          3221225472             4194304            22556.25            22556.25              142.81              142.81

##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True, n_pipeline=2
