AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
             3145728            67108864               69.10               69.10               45.52               45.52
             6291456               65536              126.17              126.17               49.87               49.87
             6291456              131072              100.26              100.26               62.75               62.75
             6291456              262144              100.42              100.42               62.65               62.65
             6291456              524288              103.50              103.50               60.79               60.79
             6291456             1048576              102.57              102.57               61.34               61.34
             6291456             2097152              103.08              103.08               61.04               61.04
             6291456             4194304              104.51              104.51               60.20               60.20
             6291456             8388608              103.90              103.90               60.56               60.56
             6291456            16777216              102.20              102.20               61.56               61.56
             6291456            33554432              102.42              102.42               61.43               61.43
             6291456            67108864              104.15              104.15               60.41               60.41
            12582912               65536              221.45              221.45               56.82               56.82
            12582912              131072              173.38              173.38               72.57               72.57
            12582912              262144              149.69              149.69               84.06               84.06
            12582912              524288              157.38              157.38               79.95               79.95
            12582912             1048576              166.37              166.37               75.63               75.63
            12582912             2097152              164.19              164.19               76.64               76.64
            12582912             4194304              165.48              165.48               76.04               76.04
            12582912             8388608              164.04              164.04               76.70               76.70
            12582912            16777216              164.86              164.86               76.32               76.32
            12582912            33554432              165.55              165.55               76.01               76.01
            12582912            67108864              163.77              163.77               76.83               76.83
            25165824               65536              420.89              420.89               59.79               59.79
            25165824              131072              331.23              331.23               75.98               75.98
            25165824              262144              281.67              281.67               89.34               89.34
            25165824              524288              265.51              265.51               94.78               94.78
            25165824             1048576              295.93              295.93               85.04               85.04
            25165824             2097152              329.89              329.89               76.29               76.29
            25165824             4194304              330.20              330.20               76.21               76.21
            25165824             8388608              329.70              329.70               76.33               76.33
            25165824            16777216              330.94              330.94               76.04               76.04
            25165824            33554432              328.79              328.79               76.54               76.54
            25165824            67108864              328.01              328.01               76.72               76.72
            50331648               65536              802.70              802.70               62.70               62.70
            50331648              131072              618.83              618.83               81.33               81.33
            50331648              262144              511.89              511.89               98.33               98.33
            50331648              524288              463.35              463.35              108.63              108.63
            50331648             1048576              471.90              471.90              106.66              106.66
            50331648             2097152              539.86              539.86               93.23               93.23
            50331648             4194304              613.72              613.72               82.01               82.01
            50331648             8388608              615.39              615.39               81.79               81.79
            50331648            16777216              615.43              615.43               81.78               81.78
            50331648            33554432              615.05              615.05               81.83               81.83
            50331648            67108864              610.40              610.40               82.46               82.46
           100663296               65536             1584.03             1584.03               63.55               63.55
           100663296              131072             1197.83             1197.83               84.04               84.04
           100663296              262144              969.43              969.43              103.84              103.84
           100663296              524288              855.32              855.32              117.69              117.69
           100663296             1048576              846.88              846.88              118.86              118.86
           100663296             2097152              892.25              892.25              112.82              112.82
           100663296             4194304             1012.61             1012.61               99.41               99.41
           100663296             8388608             1166.97             1166.97               86.26               86.26
           100663296            16777216             1136.54             1136.54               88.57               88.57
           100663296            33554432             1164.19             1164.19               86.47               86.47
           100663296            67108864             1164.06             1164.06               86.48               86.48
