AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
             3145728            67108864               75.27               75.27               41.79               41.79
             6291456               65536              137.39              137.39               45.79               45.79
             6291456              131072              117.74              117.74               53.44               53.44
             6291456              262144              113.70              113.70               55.33               55.33
             6291456              524288              105.80              105.80               59.47               59.47
             6291456             1048576              109.59              109.59               57.41               57.41
             6291456             2097152              103.45              103.45               60.81               60.81
             6291456             4194304              109.81              109.81               57.29               57.29
             6291456             8388608              105.97              105.97               59.37               59.37
             6291456            16777216              107.39              107.39               58.59               58.59
             6291456            33554432              106.81              106.81               58.90               58.90
             6291456            67108864              107.10              107.10               58.74               58.74
            12582912               65536              233.45              233.45               53.90               53.90
            12582912              131072              185.43              185.43               67.86               67.86
            12582912              262144              172.20              172.20               73.07               73.07
            12582912              524288              168.04              168.04               74.88               74.88
            12582912             1048576              165.92              165.92               75.84               75.84
            12582912             2097152              168.21              168.21               74.80               74.80
            12582912             4194304              166.93              166.93               75.38               75.38
            12582912             8388608              166.91              166.91               75.39               75.39
            12582912            16777216              166.86              166.86               75.41               75.41
            12582912            33554432              168.89              168.89               74.50               74.50
            12582912            67108864              168.30              168.30               74.76               74.76
            25165824               65536              424.57              424.57               59.27               59.27
            25165824              131072              334.94              334.94               75.14               75.14
            25165824              262144              288.55              288.55               87.21               87.21
            25165824              524288              291.94              291.94               86.20               86.20
            25165824             1048576              301.35              301.35               83.51               83.51
            25165824             2097152              320.98              320.98               78.40               78.40
            25165824             4194304              320.69              320.69               78.47               78.47
            25165824             8388608              320.40              320.40               78.55               78.55
            25165824            16777216              318.69              318.69               78.97               78.97
            25165824            33554432              318.00              318.00               79.14               79.14
            25165824            67108864              318.03              318.03               79.13               79.13
            50331648               65536              799.55              799.55               62.95               62.95
            50331648              131072              616.79              616.79               81.60               81.60
            50331648              262144              506.77              506.77               99.32               99.32
            50331648              524288              477.54              477.54              105.40              105.40
