AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=False
nblocks=16, n_parallel_sm_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_hack.cu::pipeline_reduceScatter_hack_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           402653184              131072             4114.00             4114.00               97.87               97.87
           402653184              262144             3552.51             3552.51              113.34              113.34
           402653184              524288             3513.42             3513.42              114.60              114.60
           402653184             1048576             3662.04             3662.04              109.95              109.95
           402653184             2097152             4135.99             4135.99               97.35               97.35
           402653184             4194304             5099.57             5099.57               78.96               78.96
           805306368               65536            12022.88            12022.88               66.98               66.98
           805306368              131072             8494.73             8494.73               94.80               94.80
           805306368              262144             7090.35             7090.35              113.58              113.58
           805306368              524288             6849.89             6849.89              117.56              117.56
           805306368             1048576             6914.90             6914.90              116.46              116.46
           805306368             2097152             7359.31             7359.31              109.43              109.43
           805306368             4194304             8295.98             8295.98               97.07               97.07
          1610612736               65536            24056.88            24056.88               66.95               66.95
          1610612736              131072            17279.91            17279.91               93.21               93.21
          1610612736              262144            14166.49            14166.49              113.69              113.69
          1610612736              524288            13483.78            13483.78              119.45              119.45
          1610612736             1048576            13393.60            13393.60              120.25              120.25
          1610612736             2097152            13758.56            13758.56              117.06              117.06
          1610612736             4194304            14665.37            14665.37              109.82              109.82
          3221225472               65536            48043.21            48043.21               67.05               67.05
          3221225472              131072            34800.72            34800.72               92.56               92.56
          3221225472              262144            28242.88            28242.88              114.05              114.05
          3221225472              524288            26774.53            26774.53              120.31              120.31
          3221225472             1048576            26373.23            26373.23              122.14              122.14
          3221225472             2097152            26646.94            26646.94              120.89              120.89
          3221225472             4194304            27407.31            27407.31              117.53              117.53

##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=False
