AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=15, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           402653184               65536             6056.09             6056.09               66.49               66.49
           402653184              131072             3993.88             3993.88              100.82              100.82
           402653184              262144             3086.71             3086.71              130.45              130.45
           402653184              524288             2876.10             2876.10              140.00              140.00
           402653184             1048576             3014.40             3014.40              133.58              133.58
           402653184             2097152             3579.71             3579.71              112.48              112.48
           402653184             4194304             4602.69             4602.69               87.48               87.48
           805306368               65536            12042.62            12042.62               66.87               66.87
           805306368              131072             8102.77             8102.77               99.39               99.39
           805306368              262144             6232.27             6232.27              129.22              129.22
           805306368              524288             5550.87             5550.87              145.08              145.08
           805306368             1048576             5599.41             5599.41              143.82              143.82
           805306368             2097152             6117.34             6117.34              131.64              131.64
           805306368             4194304             7146.62             7146.62              112.68              112.68
          1610612736               65536            24125.95            24125.95               66.76               66.76
          1610612736              131072            16453.52            16453.52               97.89               97.89
          1610612736              262144            12461.61            12461.61              129.25              129.25
          1610612736              524288            10931.08            10931.08              147.34              147.34
          1610612736             1048576            10809.78            10809.78              149.00              149.00
          1610612736             2097152            11160.45            11160.45              144.31              144.31
          1610612736             4194304            12037.66            12037.66              133.80              133.80
          3221225472               65536            48358.88            48358.88               66.61               66.61
          3221225472              131072            33095.58            33095.58               97.33               97.33
          3221225472              262144            24942.21            24942.21              129.15              129.15
          3221225472              524288            21663.06            21663.06              148.70              148.70
          3221225472             1048576            21184.24            21184.24              152.06              152.06
          3221225472             2097152            21221.96            21221.96              151.79              151.79
          3221225472             4194304            21902.63            21902.63              147.07              147.07

##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=2
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               79.39               79.39                0.04                0.04
                3072              131072               79.51               79.51                0.04                0.04
                3072              262144               79.29               79.29                0.04                0.04
                3072              524288               79.61               79.61                0.04                0.04
                3072             1048576               79.02               79.02                0.04                0.04
                3072             2097152               79.75               79.75                0.04                0.04
                3072             4194304               79.46               79.46                0.04                0.04
                6144               65536               79.17               79.17                0.08                0.08
                6144              131072               79.17               79.17                0.08                0.08
                6144              262144               79.18               79.18                0.08                0.08
                6144              524288               79.29               79.29                0.08                0.08
                6144             1048576               78.92               78.92                0.08                0.08
                6144             2097152               79.21               79.21                0.08                0.08
                6144             4194304               78.83               78.83                0.08                0.08
               12288               65536               78.86               78.86                0.16                0.16
               12288              131072               78.91               78.91                0.16                0.16
               12288              262144               78.84               78.84                0.16                0.16
               12288              524288               78.57               78.57                0.16                0.16
               12288             1048576               78.96               78.96                0.16                0.16
               12288             2097152               78.97               78.97                0.16                0.16
               12288             4194304               78.49               78.49                0.16                0.16
               24576               65536               78.91               78.91                0.31                0.31
               24576              131072               79.41               79.41                0.31                0.31
               24576              262144               78.91               78.91                0.31                0.31
               24576              524288               79.70               79.70                0.31                0.31
               24576             1048576               79.28               79.28                0.31                0.31
               24576             2097152               78.69               78.69                0.31                0.31
               24576             4194304               81.85               81.85                0.30                0.30
               49152               65536               79.91               79.91                0.62                0.62
               49152              131072               79.30               79.30                0.62                0.62
               49152              262144               80.13               80.13                0.61                0.61
               49152              524288               79.56               79.56                0.62                0.62
               49152             1048576               79.21               79.21                0.62                0.62
               49152             2097152               79.16               79.16                0.62                0.62
               49152             4194304               79.47               79.47                0.62                0.62
               98304               65536               80.60               80.60                1.22                1.22
               98304              131072               80.49               80.49                1.22                1.22
               98304              262144               80.40               80.40                1.22                1.22
               98304              524288               80.37               80.37                1.22                1.22
               98304             1048576               80.16               80.16                1.23                1.23
               98304             2097152               80.12               80.12                1.23                1.23
               98304             4194304               80.19               80.19                1.23                1.23
              196608               65536               82.61               82.61                2.38                2.38
              196608              131072               83.06               83.06                2.37                2.37
              196608              262144               82.24               82.24                2.39                2.39
              196608              524288               82.18               82.18                2.39                2.39
              196608             1048576               81.90               81.90                2.40                2.40
              196608             2097152               82.40               82.40                2.39                2.39
              196608             4194304               82.36               82.36                2.39                2.39
              393216               65536               91.23               91.23                4.31                4.31
              393216              131072               90.73               90.73                4.33                4.33
              393216              262144               91.37               91.37                4.30                4.30
              393216              524288               91.23               91.23                4.31                4.31
              393216             1048576               96.53               96.53                4.07                4.07
              393216             2097152               92.07               92.07                4.27                4.27
              393216             4194304               91.31               91.31                4.31                4.31
              786432               65536              101.61              101.61                7.74                7.74
              786432              131072              102.21              102.21                7.69                7.69
              786432              262144              102.98              102.98                7.64                7.64
              786432              524288              101.98              101.98                7.71                7.71
              786432             1048576              102.73              102.73                7.66                7.66
              786432             2097152              101.81              101.81                7.72                7.72
              786432             4194304              102.86              102.86                7.65                7.65
             1572864               65536              118.93              118.93               13.23               13.23
             1572864              131072              126.48              126.48               12.44               12.44
             1572864              262144              127.78              127.78               12.31               12.31
             1572864              524288              126.75              126.75               12.41               12.41
             1572864             1048576              126.18              126.18               12.47               12.47
             1572864             2097152              125.99              125.99               12.48               12.48
             1572864             4194304              125.92              125.92               12.49               12.49
             3145728               65536              137.92              137.92               22.81               22.81
             3145728              131072              151.92              151.92               20.71               20.71
             3145728              262144              173.76              173.76               18.10               18.10
             3145728              524288              173.95              173.95               18.08               18.08
             3145728             1048576              175.84              175.84               17.89               17.89
             3145728             2097152              174.36              174.36               18.04               18.04
             3145728             4194304              172.68              172.68               18.22               18.22
             6291456               65536              182.47              182.47               34.48               34.48
             6291456              131072              180.85              180.85               34.79               34.79
             6291456              262144              216.56              216.56               29.05               29.05
             6291456              524288              271.99              271.99               23.13               23.13
             6291456             1048576              275.27              275.27               22.86               22.86
             6291456             2097152              276.43              276.43               22.76               22.76
             6291456             4194304              271.41              271.41               23.18               23.18
            12582912               65536              273.60              273.60               45.99               45.99
            12582912              131072              239.95              239.95               52.44               52.44
            12582912              262144              258.76              258.76               48.63               48.63
            12582912              524288              351.92              351.92               35.76               35.76
            12582912             1048576              472.61              472.61               26.62               26.62
            12582912             2097152              471.98              471.98               26.66               26.66
            12582912             4194304              472.46              472.46               26.63               26.63
            25165824               65536              459.69              459.69               54.74               54.74
            25165824              131072              361.29              361.29               69.66               69.66
            25165824              262144              352.73              352.73               71.35               71.35
            25165824              524288              430.94              430.94               58.40               58.40
            25165824             1048576              620.74              620.74               40.54               40.54
            25165824             2097152              861.56              861.56               29.21               29.21
            25165824             4194304              860.43              860.43               29.25               29.25
            50331648               65536              819.74              819.74               61.40               61.40
            50331648              131072              603.10              603.10               83.46               83.46
            50331648              262144              524.74              524.74               95.92               95.92
            50331648              524288              579.47              579.47               86.86               86.86
            50331648             1048576              789.52              789.52               63.75               63.75
            50331648             2097152             1169.41             1169.41               43.04               43.04
            50331648             4194304             1769.58             1769.58               28.44               28.44
           100663296               65536             1568.06             1568.06               64.20               64.20
           100663296              131072             1082.39             1082.39               93.00               93.00
           100663296              262144              863.13              863.13              116.63              116.63
           100663296              524288              865.81              865.81              116.26              116.26
           100663296             1048576             1072.29             1072.29               93.88               93.88
           100663296             2097152             1604.06             1604.06               62.76               62.76
           100663296             4194304             2497.86             2497.86               40.30               40.30
           201326592               65536             3375.24             3375.24               59.65               59.65
           201326592              131072             2053.41             2053.41               98.05               98.05
           201326592              262144             1544.46             1544.46              130.35              130.35
           201326592              524288             1443.52             1443.52              139.47              139.47
           201326592             1048576             1610.95             1610.95              124.97              124.97
           201326592             2097152             2166.08             2166.08               92.95               92.95
           201326592             4194304             3269.16             3269.16               61.58               61.58
           402653184               65536             6781.33             6781.33               59.38               59.38
           402653184              131072             4157.76             4157.76               96.84               96.84
           402653184              262144             2903.91             2903.91              138.66              138.66
           402653184              524288             2598.77             2598.77              154.94              154.94
           402653184             1048576             2703.78             2703.78              148.92              148.92
           402653184             2097152             3246.57             3246.57              124.02              124.02
           402653184             4194304             4312.85             4312.85               93.36               93.36
           805306368               65536            13869.50            13869.50               58.06               58.06
           805306368              131072             8449.40             8449.40               95.31               95.31
           805306368              262144             5622.90             5622.90              143.22              143.22
           805306368              524288             4908.73             4908.73              164.06              164.06
           805306368             1048576             4923.87             4923.87              163.55              163.55
           805306368             2097152             5426.29             5426.29              148.41              148.41
           805306368             4194304             6448.81             6448.81              124.88              124.88
          1610612736               65536            27449.72            27449.72               58.68               58.68
          1610612736              131072            17086.72            17086.72               94.26               94.26
          1610612736              262144            11198.75            11198.75              143.82              143.82
          1610612736              524288             9541.66             9541.66              168.80              168.80
          1610612736             1048576             9434.62             9434.62              170.71              170.71
          1610612736             2097152             9798.74             9798.74              164.37              164.37
          1610612736             4194304            10710.58            10710.58              150.38              150.38
          3221225472               65536            55691.36            55691.36               57.84               57.84
          3221225472              131072            34132.07            34132.07               94.38               94.38
