root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel_simplified_read.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           100663296              262144              800.94              800.94              125.68              125.68
           100663296              524288              606.66              606.66              165.93              165.93
           100663296             1048576              535.27              535.27              188.06              188.06
           100663296             2097152              607.20              607.20              165.78              165.78
           100663296             4194304              716.44              716.44              140.50              140.50
           201326592               65536             4072.79             4072.79               49.43               49.43
           201326592              131072             2458.94             2458.94               81.88               81.88
           201326592              262144             1562.91             1562.91              128.82              128.82
           201326592              524288             1158.85             1158.85              173.73              173.73
           201326592             1048576             1039.00             1039.00              193.77              193.77
           201326592             2097152             1107.61             1107.61              181.77              181.77
           201326592             4194304             1201.78             1201.78              167.52              167.52
           402653184               65536             8138.27             8138.27               49.48               49.48
           402653184              131072             4897.73             4897.73               82.21               82.21
           402653184              262144             3096.30             3096.30              130.04              130.04
           402653184              524288             2255.29             2255.29              178.54              178.54
           402653184             1048576             2035.40             2035.40              197.82              197.82
           402653184             2097152             2094.59             2094.59              192.23              192.23
           402653184             4194304             2182.52             2182.52              184.49              184.49
           805306368               65536            16266.95            16266.95               49.51               49.51
           805306368              131072             9757.98             9757.98               82.53               82.53
           805306368              262144             6119.09             6119.09              131.61              131.61
           805306368              524288             4349.17             4349.17              185.16              185.16
           805306368             1048576             4019.58             4019.58              200.35              200.35
           805306368             2097152             4060.22             4060.22              198.34              198.34
           805306368             4194304             4144.02             4144.02              194.33              194.33
          1610612736               65536            32549.00            32549.00               49.48               49.48
          1610612736              131072            19489.28            19489.28               82.64               82.64
          1610612736              262144            12165.21            12165.21              132.39              132.39
          1610612736              524288             8526.95             8526.95              188.88              188.88
          1610612736             1048576             7997.92             7997.92              201.38              201.38
          1610612736             2097152             8012.87             8012.87              201.00              201.00
          1610612736             4194304             8072.46             8072.46              199.52              199.52
          3221225472               65536            65148.82            65148.82               49.44               49.44
          3221225472              131072            38934.77            38934.77               82.73               82.73
          3221225472              262144            24267.29            24267.29              132.74              132.74
          3221225472              524288            16873.09            16873.09              190.91              190.91
          3221225472             1048576            15968.03            15968.03              201.73              201.73
          3221225472             2097152            15927.56            15927.56              202.24              202.24
          3221225472             4194304            15959.06            15959.06              201.84              201.84

####################################################### Allgather #######################################################
nranks=16
k=2
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel_simplified_read.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               54.47               54.47                0.06                0.06
                3072              131072               56.63               56.63                0.05                0.05
                3072              262144               54.23               54.23                0.06                0.06
                3072              524288               54.00               54.00                0.06                0.06
                3072             1048576               53.77               53.77                0.06                0.06
                3072             2097152               54.89               54.89                0.06                0.06
                3072             4194304               54.16               54.16                0.06                0.06
                6144               65536               54.21               54.21                0.11                0.11
                6144              131072               54.43               54.43                0.11                0.11
                6144              262144               54.56               54.56                0.11                0.11
                6144              524288               54.30               54.30                0.11                0.11
                6144             1048576               54.57               54.57                0.11                0.11
                6144             2097152               53.98               53.98                0.11                0.11
                6144             4194304               54.21               54.21                0.11                0.11
               12288               65536               54.34               54.34                0.23                0.23
               12288              131072               54.69               54.69                0.22                0.22
               12288              262144               54.85               54.85                0.22                0.22
               12288              524288               54.89               54.89                0.22                0.22
               12288             1048576               54.33               54.33                0.23                0.23
               12288             2097152               53.98               53.98                0.23                0.23
               12288             4194304               54.34               54.34                0.23                0.23
               24576               65536               54.48               54.48                0.45                0.45
               24576              131072               54.78               54.78                0.45                0.45
               24576              262144               54.29               54.29                0.45                0.45
               24576              524288               54.98               54.98                0.45                0.45
               24576             1048576               53.90               53.90                0.46                0.46
               24576             2097152               54.78               54.78                0.45                0.45
               24576             4194304               55.05               55.05                0.45                0.45
               49152               65536               54.45               54.45                0.90                0.90
               49152              131072               54.18               54.18                0.91                0.91
               49152              262144               54.21               54.21                0.91                0.91
               49152              524288               54.25               54.25                0.91                0.91
               49152             1048576               54.97               54.97                0.89                0.89
               49152             2097152               55.07               55.07                0.89                0.89
               49152             4194304               54.06               54.06                0.91                0.91
               98304               65536               55.38               55.38                1.78                1.78
               98304              131072               60.96               60.96                1.61                1.61
               98304              262144               55.64               55.64                1.77                1.77
               98304              524288               55.13               55.13                1.78                1.78
